产品代码,产品名称,风险等级,产品状态,销售状态
AF247494G,信银理财安盈象固收稳利一个月持有期60号理财产品,中低风险,存续期内,在售
AF234451G,信银理财安盈象固收稳利七天持有期33号理财产品,中低风险,存续期内,在售
AF246940G,信银理财安盈象固收稳利七天持有期56号理财产品,中低风险,存续期内,在售
AF247462G,信银理财安盈象固收稳利七天持有期72号理财产品,中低风险,存续期内,在售
AF247463G,信银理财安盈象固收稳利七天持有期73号理财产品,中低风险,存续期内,在售
AF247467G,信银理财安盈象固收稳利七天持有期77号理财产品,中低风险,存续期内,在售
AF246176G,信银理财安盈象固收稳利三个月持有期12号理财产品,中低风险,存续期内,在售
AF247786G,信银理财安盈象固收稳利三个月持有期29号理财产品,中低风险,存续期内,在售
AF247792G,信银理财安盈象固收稳利三个月持有期31号理财产品,中低风险,存续期内,在售
BF255376B,信银理财安盈象固收稳利三个月持有期6号私募理财产品,中低风险,存续期内,在售
AF247644G,信银理财安盈象固收稳利两个月持有期16号理财产品,中低风险,存续期内,在售
AF246957G,信银理财安盈象固收稳利两个月持有期6号理财产品,中低风险,存续期内,在售
AF245701G,信银理财安盈象固收稳利二十一天持有期2号理财产品,中低风险,存续期内,在售
AF247105G,信银理财安盈象固收稳利十四天持有期21号理财产品,中低风险,存续期内,在售
BF255303B,信银理财安盈象固收稳利十四天持有期6号私募理财产品,中低风险,存续期内,在售
BF255305B,信银理财安盈象固收稳利十四天持有期8号私募理财产品,中低风险,存续期内,在售
AF258608G,信银理财安盈象固收稳利日开136号理财产品,中低风险,存续期内,在售
AF250603G,信银理财安盈象固收稳利日开178号理财产品,中低风险,存续期内,在售
AF252047G,信银理财安盈象固收稳利日开195号理财产品,中低风险,存续期内,在售
AF245307G,信银理财安盈象固收稳利日开25号理财产品,中低风险,存续期内,在售
AF245390G,信银理财安盈象固收稳利日开27号理财产品,中低风险,存续期内,在售
AF245393B,信银理财安盈象固收稳利日开30号理财产品,中低风险,存续期内,在售
AF245725G,信银理财安盈象固收稳利日开33号理财产品,中低风险,存续期内,在售
AF247187B,信银理财安盈象固收稳利日开50号理财产品,中低风险,存续期内,在售
AF264691B,信银理财慧盈象固收增利三个月持有期120号理财产品,中低风险,存续期内,在售
AF258534G,信银理财慧盈象固收增利三个月持有期25号理财产品,中低风险,存续期内,在售
